timestamp,Cores,RealAllocatedCores,SystemRealUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1652017860,218.0609281663976,448,48.6743143228566,37.0851918650336,588,0,0,1,0
1652017920,215.81252008388034,448,48.17243751872329,36.70280953807489,588,0,0,0,0
1652017980,216.08707088676752,448,48.233721180082036,36.749501851491075,588,0,0,0,0
1652018040,224.39691642469722,448,50.08859741622705,38.16274088855395,588,0,0,0,0
1652018100,220.55079163335972,448,49.23008741816065,37.508638032884306,588,0,0,0,0
1652018160,231.55693666005544,448,51.686816218762374,39.38043140477133,588,0,0,0,0
1652018220,209.68625579746958,448,46.80496781193518,35.66092785671252,588,0,0,0,0
1652018280,200.90202595276648,448,44.84420222159966,34.167011216456885,588,0,-140,0,0
1652018340,190.75827703254433,432,44.157008572348225,42.57997255190721,448,0,0,0,6
1652018400,207.19066373735333,448,46.24791601280208,46.24791601280208,448,0,16,0,0
1652018460,239.32090484299505,448,53.41984483102568,53.41984483102568,448,0,84,0,0
1652018520,245.30680508334797,448,54.755983277533026,54.755983277533026,448,0,100,0,0
1652018580,234.25093497362934,448,52.28815512804227,52.28815512804227,448,0,76,0,0
1652018640,215.28800538649045,448,48.05535834519876,48.05535834519876,448,0,32,0,0
1652018700,205.04172693045973,448,45.76824261840619,45.76824261840619,448,0,8,0,0
1652018760,207.66849363933844,448,46.35457447306662,46.35457447306662,448,0,16,0,0
1652018820,223.58146653555775,448,49.906577351687,49.906577351687,448,0,52,0,0
1652018880,208.62464995252603,448,46.56800222154599,46.56800222154599,448,0,16,0,0
1652018940,221.01572999989517,448,49.33386830354803,49.33386830354803,448,0,44,0,0
1652019000,204.53481644639257,448,45.65509295678405,45.65509295678405,448,0,8,0,0
1652019060,210.682924884114,448,47.027438590204014,39.60205354964549,532,0,0,4,0
1652019120,217.01439257743695,448,48.44071262889217,34.337720344531164,632,0,0,4,0
1652019180,231.26985679553243,448,51.62273589185992,32.66523401066842,708,0,0,4,0
1652019240,228.23613484714292,448,50.94556581409441,32.23674221004843,708,0,0,3,0
